title,author,journal,year,source,status,reason
Flow Experience as a Quality Measure in Evaluating Physically Activating Serious Games,"Suominen, Kristian KiiliArttu PerttulaSylvester ArnabMarko",Games and Learning Alliance,2014,Springer Link,Rejected,Study that does not address gamification
Designing and integrating purposeful learning in game play: a systematic review,"Ke, Fengfeng",Educational Technology Research and Development,2016,Springer Link,Rejected,Study that does not address gamification
Framework for personalized and adaptive game-based training programs in health sport,"Steinmetz, Sandro HardyTim DutzJosef WiemeyerStefan G{Ç}{ô}belRalf",Multimedia Tools and Applications,2015,Springer Link,Rejected,Study that does not address gamification
Gamified probes for cooperative learning: a case study,"Torello, Rosella GennariAlessandra MelonioSantina",Multimedia Tools and Applications,2017,Springer Link,Rejected,Study that does not address gamification
Virtual Homage to the Dead: An Analysis of Digital Memorials in the Social Web,"Pereira, Aron Daniel LopesCristiano MacielVinicius Carvalho",Social Computing and Social Media,2014,Springer Link,Rejected,Study that does not address gamification
Digital Games in Early Childhood: Broadening Definitions of Learning,"Mustola, Marja KankaanrantaMerja KoivulaMarja-Leena LaaksoMarleena",Literacy,2017,Springer Link,Rejected,Study that does not address gamification
A Vision of Smart Teaching in CS,"{Š}tuikys, Vytautas",Smart Learning Objects for Smart Education in Computer Science,2015,Springer Link,Rejected,Study that does not address gamification
Policy Making Improvement through Social Learning,"Szab{ó}, Andrea KőAndr{á}s G{á}borZolt{á}n",Technology-Enabled Innovation for Democracy,2013,Springer Link,Rejected,Study that does not address gamification
Social Collaboration and Gamification,"Stieglitz, Christian MeskeTobias BrockmannKonstantin WilmsStefan",Gamification,2017,Springer Link,Rejected,Study that does not address gamification
The application and impact of gamification funware on trip planning and experiences: the case of TripAdvisor's funware,"Sigala, Marianna",Electronic Markets,2015,Springer Link,Rejected,Study that does not address gamification
Player Experience,"ƒ??Floydƒ?? Mueller, Josef WiemeyerLennart NackeChristiane MoserFlorian",Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Design of Serious Games,"ƒ??Floydƒ?? Mueller, Philip MildnerFlorian",Serious Games,2016,Springer Link,Rejected,Study that does not address gamification
Comparison of Visual Business Modeling Techniques for Software Companies,"Handoyo, Garm LucassenSjaak BrinkkemperSlinger JansenEko",Software Business,2012,Springer Link,Rejected,Study that does not address gamification
Towards an Understanding of The Motivations to Play Games on Smartphones,"Farrelly, Brian McCauleyFoula KopanidisFrancis",Looking Forward,2016,Springer Link,Rejected,Study that does not address gamification
Online experiences: flow theory,"Bujisic, Anil BilgihanFevzi OkumusKhaldoon NusairMilos",measuring online customer experience in e-commerce and managerial implications for the lodging industry,2014,Springer Link,Rejected,Study that does not address gamification
Gamified Requirements Engineering: Model and Experimentation,"Brinkkemper, Philipp LombriserFabiano DalpiazGarm LucassenSjaak",Requirements Engineering: Foundation for Software Quality,2016,Springer Link,Rejected,Study that does not address gamification
Just Rate It! Gamification as Part of Recommendation,"Silveira, Angelina de C A ZiesemerLuana M{ü}llerMilene S",Human-Computer Interaction. Applications and Services,2014,Springer Link,Duplicated,
Recent development in multimedia e-learning technologies,"Wah, Rynson W H LauNeil Y YenFrederick LiBenjamin",World Wide Web,2014,Springer Link,Rejected,Study that does not address gamification
Health Care Gamification: A Study of Game Mechanics and Elements,"Young, Renee GarettSean D",Technology,2018,Springer Link,Duplicated,
Imperatives of Access,"Ray, Anup Kumar",Equity and Quality in Indian Technical Education System: Role of ICT,2014,Springer Link,Rejected,Study that does not address gamification
Gamification for Crowdsourcing Marketing Practices: Applications and Benefits in Tourism,"Sigala, Marianna",Advances in Crowdsourcing,2015,Springer Link,Duplicated,
Characterising smoking cessation smartphone applications in terms of behaviour change techniques,"Ph.D., Harveen Kaur Ubhi M.Sc.Susan Michie D.Phil.Daniel Kotz Ph.D.Onno C P van Schayck Ph.D.Abiram Selladurai B.Sc.Robert West",engagement and ease-of-use features,2016,Springer Link,Rejected,Study that does not address gamification
Using mobile health technology to improve behavioral skill implementation through homework in evidence-based parenting intervention for disruptive behavior disorders in youth: study protocol for intervention development and evaluation,"McKay, Anil ChackoAndrew IshamAndrew F CleekMary M",Pilot and Feasibility Studies,2016,Springer Link,Rejected,Study that does not address gamification
A Framework for the Assessment of Enjoyment in Video Games,"Gilbert, Elizabeth MatthewsGeoffrey MatthewsJuan E",Human-Computer Interaction. Interaction Technologies,2018,Springer Link,Rejected,Study that does not address gamification
Gamification in der Marketingkommunikation,"Hipp-Gruner, Martin",Brand Evolution,2017,Springer Link,Rejected,Study that does not address gamification
Competition Based Online Social Learning,"Kersiene, Tomas BlazauskasVirginija LimanauskieneVitalija",Information and Software Technologies,2012,Springer Link,Rejected,Study that does not address gamification
A critical review of flipped classroom challenges in K-12 education: possible solutions and recommendations for future research,"Hew, Chung Kwan LoKhe Foon",Research and Practice in Technology Enhanced Learning,2017,Springer Link,Rejected,Study that does not address gamification
Deconstructing gamification: evaluating the effectiveness of continuous measurement,"Gal-Oz, Oren ZuckermanAyelet",virtual rewards,2014,Springer Link,Rejected,Study that does not address gamification
Game and Learning Mechanics Under the Perspective of Self-determination Theory for Supporting Motivation in Digital Game Based Learning,"Romero, Jean-Nicolas ProulxMargarida",Games and Learning Alliance,2016,Springer Link,Rejected,Study that does not address gamification
The Design in the Development of Exergames: A New Game for the Contribute to Control Childhood Obesity,"Campos, Marina BarrosAndr{Ç}¸ NevesWalter CorreiaMarcelo M{Ç}­rcio SoaresF{Ç}­bio","Design, User Experience, and Usability. Health, Learning, Playing, Cultural, and Cross-Cultural User Experience",2013,Springer Link,Rejected,Study that does not address gamification
Designing Serious Videogames through Concept Maps,"Espinoza, Jaime S{á}nchezMat{{́i}}as",Human-Computer Interaction. Applications and Services,2013,Springer Link,Rejected,Study that does not address gamification
Michelle D. Miller: Minds online: teaching effectively with technology,"Takamine, Kurt",Higher Education,2017,Springer Link,Rejected,Study that does not address gamification
What Makes for Successful Game Storytelling? A Model for Evaluating Game-Adaptability of Stories in China,"Huang, Yun GongBingcheng WangPei-Luen Patrick RauDinglong",Cross-Cultural Design. Applications in Cultural Heritage,2018,Springer Link,Rejected,Study that does not address gamification
Rationale Behind Socially Influencing Design Choices for Health Behavior Change,"Isomursu, Vasiliki MylonopoulouKarin V{ä}yrynenAgnis StibeMinna",Persuasive Technology,2018,Springer Link,Rejected,Study that does not address gamification
Sources of Computer Game Enjoyment: Card Sorting to Develop a New Model,"Fang, Owen SchafferXiaowen",Human-Computer Interaction. Interaction Contexts,2017,Springer Link,Rejected,Study that does not address gamification
Achievement Systems Explained,"Fraternali, Luca GalliPiero",Trends and Applications of Serious Gaming and Social Media,2014,Springer Link,Rejected,Study that does not address gamification
Why We Need Democracy 2.0 and Capitalism 2.0 to Survive,"Helbing, Dirk",Towards Digital Enlightenment,2019,Springer Link,Rejected,Study that does not address gamification
Children's Motives to Start,"Looy, Antonius J Van RooijRowan DaneelsSien LiuSarah AnrijsJan Van",Continue,2017,Springer Link,Rejected,Study that does not address gamification
A Multi-domain Framework for Modelling Educational Games: Towards the Development of Effective Educational Games,"Mehat, Mifrah AhmadLukman Ab RahimNoreen Izza ArshadMazlina",7th International Conference on University Learning and Teaching (InCULT 2014) Proceedings,2016,Springer Link,Rejected,Study that does not address gamification
Behavioral Nudges and Consumer Technology,"Wendel, Steve",Nudge Theory in Action,2016,Springer Link,Rejected,Study that does not address gamification
Gamification on Senior Citizen's Information Technology Learning: The Mediator Role of Intrinsic Motivation,"Zuo, Kai SunLingyun QiuMeiyun",Human Aspects of IT for the Aged Population. Aging,2017,Springer Link,Rejected,Study that does not address gamification
Engaging Learners in a Flipped Information Science Course with Gamification: A Quasi-experimental Study,"Warning, Biyun HuangKhe Foon HewPeter",Technology in Education. Innovative Solutions and Practices,2018,Springer Link,Duplicated,
T{Ü}V NORD IN 3D: Avatars at Work—From Second Life to the Web 3D,"Tietgens, Frank BoergerHanno",Synthetic Worlds,2014,Springer Link,Rejected,Study that does not address gamification
fAARS: A Platform for Location-Aware Trans-reality Games,"Nikolaidis, Lucio GutierrezEleni StrouliaIoanis",Entertainment Computing - ICEC 2012,2012,Springer Link,Rejected,Study that does not address gamification
Big Data and Bigger Control Issues,"Keathley, Elizabeth Ferguson",Digital Asset Management,2014,Springer Link,Rejected,Study that does not address gamification
Eine mobilen App zur crowdbasierten Erfassung von freien Parkpl{ä}tzen durch Gamification,"Krcmar, Christoph Pfl{ü}glerMaximilian SchreieckManuel WiescheHelmut",Management digitaler Plattformen,2018,Springer Link,Rejected,Study that does not address gamification
Online-Communities: Was die User motiviert und wie sie aktiviert werden,"Wieser, Dorothea SchaffnerEsther FederspielSeraina MohrFlorian",Dialogmarketing Perspektiven 2016/2017,2017,Springer Link,Rejected,Study that does not address gamification
Real-time emergency response: improved management of real-time information during crisis situations,"Cooperstock, Jeffrey R BlumAlexander EichhornSeverin SmithMichael Sterle-ContalaJeremy R",Journal on Multimodal User Interfaces,2014,Springer Link,Rejected,Study that does not address gamification
Gamification of Education: A Review of Literature,"Eschenbrenner, Fiona Fui-Hoon NahQing ZengVenkata Rajasekhar TelaproluAbhishek Padmanabhuni AyyappaBrenda",HCI in Business,2014,Springer Link,Duplicated,
Investigating the Antecedents of Playing Games for Crowdsourcing Location-based Content,"Lee, Dion Hoe-Lian GohEi Pa Pa Pe-ThanChei Sian",Digital Libraries: Providing Quality Information,2015,Springer Link,Rejected,Study that does not address gamification
Gamification in E-Commerce,"Stabauer, Jovana Kara{ć}Martin",HCI in Business,2017,Springer Link,Rejected,Study that does not address gamification
Game-Based Speech Rehabilitation for People with Parkinson's Disease,"Ritterfeld, Juliane M{ü}hlhausHendrike FriegKerstin BildaUte",Universal Access in Human–Computer Interaction. Human and Technological Environments,2017,Springer Link,Rejected,Study that does not address gamification
The Impact of Gamification in Social Live Streaming Services,"Scheibe, Katrin",Social Computing and Social Media. Technologies and Analytics,2018,Springer Link,Duplicated,
